# Wavelength_Angstrom  Normalized_Flux
4.825700011559800259e+03 9.930483698844909668e-01
4.825750011560499843e+03 9.999750852584838867e-01
4.825800011561200336e+03 9.913184642791748047e-01
4.825850011561899919e+03 9.918957948684692383e-01
4.825900011562600412e+03 9.951359629631042480e-01
4.825950011563299995e+03 1.000316619873046875e+00
4.826000011563999578e+03 9.942280054092407227e-01
4.826050011564700071e+03 9.942774772644042969e-01
4.826100011565399655e+03 9.808167219161987305e-01
4.826150011566100147e+03 9.759067296981811523e-01
4.826200011566799731e+03 9.756796956062316895e-01
4.826250011567500223e+03 9.786050915718078613e-01
4.826300011568199807e+03 9.842392802238464355e-01
4.826350011568900300e+03 9.841120839118957520e-01
4.826400011569599883e+03 9.894962906837463379e-01
4.826450011570299466e+03 9.874339103698730469e-01
4.826500011570999959e+03 9.718056917190551758e-01
4.826550011571700452e+03 9.478209018707275391e-01
4.826600011572400035e+03 9.240807294845581055e-01
4.826650011573099619e+03 9.111095070838928223e-01
4.826700011573800111e+03 9.302945137023925781e-01
4.826750011574499695e+03 9.436600208282470703e-01
4.826800011575200188e+03 9.583992362022399902e-01
4.826850011575899771e+03 9.705419540405273438e-01
4.826900011576600264e+03 9.826800823211669922e-01
4.826950011577299847e+03 9.773270487785339355e-01
4.827000011578000340e+03 9.869713783264160156e-01
4.827050011578699923e+03 9.846724867820739746e-01
4.827100011579399506e+03 9.751187562942504883e-01
4.827150011580099999e+03 9.615664482116699219e-01
4.827200011580799583e+03 9.259957671165466309e-01
4.827250011581500075e+03 9.054149985313415527e-01
